user_group;username;password;email;first_name;last_name;date_of_birth;phone;tg_name;is_student
;alekseevgorde6571;V7!9rOdtke+M;jaropolk_1993@hotmail.com;Фирс;Пахомов;2004-04-24;89150537042;@alekseevgorde6571;True
;mzatsev1721;%4i*QYbi5fGl;bespalovpolikarp@ao.edu;Лукьян;Егорова;2000-08-29;84804081675;@mzatsev1721;True
;praskovja_423366;SSP9!cg@$5rM;florentin2005@npo.net;Ратибор;Петров;2002-11-09;80584618888;@praskovja_423366;True
;sofija_19874707;U&#JLIvs_)7x;demjan_1991@hotmail.com;Азарий;Трофимов;2005-02-24;84288279394;@sofija_19874707;True
;avde_528100;L%9XV2qj^SF(;lavrrodionov@yandex.ru;Вацлав;Суворова;2003-08-28;88913771888;@avde_528100;True
;solovevkonon913;&J2JTo0%72*m;teterinaantonina@mail.ru;Евдоким;Дьячкова;2003-01-18;85486839568;@solovevkonon913;True
;dlarionova5887;ScBSn$W79^7p;unoskov@komos.org;Конон;Красильникова;2003-11-10;88538498302;@dlarionova5887;True
;sofija_175859;H3LPtSsrmOD!;mark70@mail.ru;Терентий;Кошелева;2001-07-17;87923278188;@sofija_175859;True
;kovalevavalerija3576;H6)lOsUdNSI4;vladimirovdorofe@ip.net;Лукия;Меркушева;2008-12-20;85099902437;@kovalevavalerija3576;True
;ljudmila19921707;(vIW8!Njp6ZV;glebsisoev@zao.ru;Евстигней;Горшков;2004-04-23;80560547300;@ljudmila19921707;True
;afinogen364447;!UP4G(s)3Ar*;trifon_1975@rambler.ru;Лаврентий;Пахомов;2008-07-04;85038807246;@afinogen364447;True
;emeljan_137771;#y3cNhrb&11J;aksenovjaroslav@yahoo.com;Леон;Максимова;2003-03-11;80821993080;@emeljan_137771;True
;kkulikova1591;I1gZTWJu7@q3;olimpipanfilov@rambler.ru;Емельян;Громов;2007-02-05;89730698027;@kkulikova1591;True
;efimovafaina6103;3!1WGwn*MSM);pbobilev@rao.info;Силантий;Авдеева;2008-03-17;83673758994;@efimovafaina6103;True
;izjaslavkondratev6669;_3S5uJx7Z(n@;karp_45@yandex.ru;Феофан;Калинина;2006-10-11;83350775046;@izjaslavkondratev666;True
;sofronnosov5761;a09D3fHbK!J&;zhuravlevruslan@mail.ru;Всемил;Хохлов;2004-08-29;87015135617;@sofronnosov5761;True
;jgusev1937;_I6UZj!Hp97p;nosovsigizmund@ip.org;Ферапонт;Наумова;2007-03-31;88471075600;@jgusev1937;True
;anzhelika438647;!N3h*Pzk2elG;fgorshkova@ao.net;Лора;Прохорова;2006-08-14;87797149973;@anzhelika438647;True
;sofron329663;+oc8nFOJ7ztX;leliseev@ooo.org;Севастьян;Максимов;2002-10-24;89172661673;@sofron329663;True
;harlampi724151;&NW)bLuB5FJK;vikenti_52@zao.org;Валентина;Морозов;2008-06-18;89087645521;@harlampi724151;True
;polikarp19747792;Y7)LdhPr@JFU;olimpiada_74@gmail.com;Лазарь;Гуляев;2005-08-07;89550544910;@polikarp19747792;True
;klavdija314168;9GNQGv%zs75#;florentin1978@rao.biz;Владилен;Комиссаров;2005-08-13;85915220828;@klavdija314168;True
;tit_20208000;2Go*6T6qwrkp;filipp_1987@mail.ru;Игорь;Туров;2007-07-23;80919369150;@tit_20208000;True
;ilinaregina6277;!6iMiTR7V3SM;stanislavabramov@zao.com;Адам;Соболева;2007-11-13;83203099573;@ilinaregina6277;True
;sobolevalora1665;KhqQ31EGU%6*;galina01@yandex.ru;Любомир;Лукин;2005-05-04;84455292534;@sobolevalora1665;True
;kudrjavtsevaljubov2684;$41r^B7bSTtp;emil17@rao.net;Евстигней;Овчинникова;2003-03-05;81663403291;@kudrjavtsevaljubov26;True
;novikovaviktorija7104;B(77F+Mv&#w(;gennadi_2013@rao.net;Исай;Гуляев;2007-06-30;82153762568;@novikovaviktorija710;True
;rozhkovmatve2415;Rp7&$rrW%N7M;semen12@hotmail.com;Наина;Русакова;2008-07-19;80260975610;@rozhkovmatve2415;True
;maksimovvatslav1072;74GNjT%cacU(;voronovasinklitikija@yahoo.com;Якуб;Белоусова;2005-01-29;89568799337;@maksimovvatslav1072;True
;bikovaantonina7479;ooTUUA0O@2i@;osip_2012@oao.edu;Модест;Тарасова;2003-09-06;83967209609;@bikovaantonina7479;True
;demiduvarov3572;Oj88IjqYT_F);beljakovairina@belaz-24.org;Варфоломей;Гусева;2005-10-30;82887980769;@demiduvarov3572;True
;anatoli134948;81VhxfCq(igd;ninel2010@ooo.ru;Фотий;Потапов;2008-03-07;85704806116;@anatoli134948;True
;ljubomir556651;c2GqiTKt#&jB;lukinaleksandr@mail.ru;Фирс;Васильев;2002-07-26;82017089908;@ljubomir556651;True
;kornilovemmanuil1031;(j*C3AzWp&Wi;sidorkomarov@vinogradov.org;Татьяна;Матвеев;2002-05-31;82341868938;@kornilovemmanuil1031;True
;kalininmina8858;^5YAeFymLE1%;alina_68@rambler.ru;Руслан;Казакова;2004-10-30;85916312763;@kalininmina8858;True
;modest_007115;&0b!A7&ZFKC9;vladilen02@ooo.com;Тамара;Кудряшов;2000-08-05;86985057649;@modest_007115;True
;stojan_781992;c$l7KXgdp#D4;platonilin@hotmail.com;Эраст;Горшков;2007-02-27;89034190636;@stojan_781992;True
;fominavalerija9914;e7QhKtna+swB;gedeon_1997@rao.edu;Сократ;Филиппов;2001-06-17;88996819630;@fominavalerija9914;True
;sidorovatatjana8047;%$UTU(Qg6E&h;romanovvladlen@oao.info;Селиван;Кошелева;2007-03-31;82087360846;@sidorovatatjana8047;True
;askold_19935239;x)w##Nx&Ni8E;ostap_21@gmail.com;Виктория;Титов;2005-05-20;83624798238;@askold_19935239;True
;belovviktor2090;0y1WySs9%5^A;kondrati76@hotmail.com;Каллистрат;Марков;2005-10-18;84159558879;@belovviktor2090;True
;konstantin19878248;!wvBg0ZSZ00t;novikovnarkis@gmail.com;Будимир;Третьякова;2001-01-26;86490846385;@konstantin19878248;True
;baranovlev4399;@HxtpjKkU1gM;anikita2014@mail.ru;Валентина;Доронин;2004-09-30;83404454405;@baranovlev4399;True
;xlarionova1775;)^HrybHz78Bs;milovan1973@rambler.ru;Эрнест;Пестова;2009-04-13;86658159867;@xlarionova1775;True
;isa20154258;^@WljJGoZ4L+;ignatifomichev@novorossiski.net;Алла;Петухов;2002-01-29;85920413796;@isa20154258;True
;ljubosmisl442428;o_81tnYoOp(w;kudrjashovakira@rambler.ru;Наркис;Зимин;2009-02-03;84894150278;@ljubosmisl442428;True
;kazakovmartin2742;!VdRo4djf2lx;simon1997@rambler.ru;Пахом;Жукова;2002-05-13;84618854898;@kazakovmartin2742;True
;ivanovnikifor4591;TU)8T9zHAQ0v;muravevlongin@hotmail.com;Вера;Орлова;2005-09-07;81285354377;@ivanovnikifor4591;True
;mironovvarlaam5111;#O$4TzOfU_Bu;antip_91@yandex.ru;Венедикт;Шестакова;2007-02-19;82949822256;@mironovvarlaam5111;True
;ershovprokofi3970;@CUTQ6CkRw3t;qvinogradov@gruppa.biz;Герман;Григорьева;2005-12-28;86871941789;@ershovprokofi3970;True
;jan_19984834;q2P)_3CiYl3S;antonin_1996@yarche.ru;Савва;Белякова;2006-01-28;80085122015;@jan_19984834;True
;kazimir20192322;$G5f$Cdc@#r^;dshestakova@yandex.ru;Оксана;Лапин;2009-02-25;83628091920;@kazimir20192322;True
;fokinsofon5782;QY1HwH043S^%;platon_2016@hotmail.com;Самуил;Мельникова;2008-07-30;87610432063;@fokinsofon5782;True
;shirjaevalekse6706;r*8I9pEVpcKg;hristofor_2005@rao.edu;Галактион;Владимиров;2005-11-22;89967308645;@shirjaevalekse6706;True
;kuprijan_19808294;%um$Me%7Q8qB;foma_1984@psk.edu;Модест;Дорофеев;2006-10-08;89919008052;@kuprijan_19808294;True
;tatjana_282598;_qM^KbWzm2C6;sorokinviktor@rao.biz;Филимон;Самсонова;2000-08-17;80692192858;@tatjana_282598;True
;sobolevafekla3836;i%54(UQoUY5j;ermil_33@dorofeev.com;Ия;Потапова;2003-06-21;82505887508;@sobolevafekla3836;True
;lev_902593;07#(Z)x(A)p5;feliks_18@oao.biz;Акулина;Зуева;2007-04-15;84175210443;@lev_902593;True
;doroninmstislav6686;8gMbhlum&0no;nesterovpahom@antonov.org;Глеб;Миронов;2007-10-23;86164962229;@doroninmstislav6686;True
;merkushevjakov5679;J97YmccDEMD*;natantsvetkov@rao.org;Харитон;Осипова;2002-08-01;81793243963;@merkushevjakov5679;True
;aksenovemeljan475;wQHKWwoNu5+_;evseevdobroslav@baranov.biz;Ефим;Щербаков;2004-04-17;88470072272;@aksenovemeljan475;True
